source_id,source_type,source_name,doi,salt,temperature_c,concentration,concentration_unit,solvent_a,ratio_a,solvent_b,ratio_b,solvent_c,ratio_c,solvent_ratio_basis,component_count,solubility_mole_fraction,fully_dissolved,conductivity,conductivity_unit,viscosity_mpas,phase_stable_24h,phase_stable_7d,relative_uncertainty,notes
CALiSol-23:13220,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-40.0,2.0,mol/l,Sulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13457,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-40.0,0.75,mol/l,TEOS,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13458,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-40.0,1.0,mol/l,THF,100.0,,,,,v,1,,True,3.91,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:13459,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-40.0,1.0,mol/l,3-Glyme,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12270,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-30.0,1.0,mol/l,2-MeTHF,100.0,,,,,v,1,,True,1.83,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12563,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-30.0,1.0,mol/l,3-Me-2-Oxazolidinone,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12564,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-30.0,1.0,mol/l,3-MeSulfolane,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12570,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-30.0,1.0,mol/l,g-Butyrolactone,100.0,,,,,v,1,,True,2.53,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12589,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-30.0,1.0,mol/l,DMF,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
CALiSol-23:12896,conductivity,CALiSol-23,10.1016/0378-7753(91)80004-H,LiAsF6,-30.0,1.0,mol/l,EC,100.0,,,,,v,1,,True,,as reported by CALiSol-23,,,,,Parsed from public CALiSol-23 conductivity table; ratios normalised to percent.
